"Time"	YJL206C	YDR167W	YDR166C	YGL262W	YHL008C

0	0.8259878	0.8907363	0.1212786	0.7236497	0.0123115
50	0.7670371	0.6489560	0.0853032	0.7639873	0.0035958
100	0.7176366	0.7580754	0.1565625	0.7361275	0.0074635
150	1.0000000	0.8226909	0.1346584	0.6140065	0.0092744
200	0.9283027	0.7499440	0.0862692	0.7620670	0.0099680
250	0.7270657	0.7164806	0.1067397	0.8777043	0.0213177
300	0.7556167	0.7955776	0.0641306	0.8352526	0.0179511
350	0.6654792	0.6642684	0.0807106	0.8284991	0.0048012
400	0.7259622	0.7913754	0.0696205	0.8239948	0.0050491
450	0.7023199	0.8303655	0.0815397	0.8900807	0.0066547
500	0.6610491	0.8690290	0.1279328	0.7491901	0.0028990
550	0.8035634	0.8715262	0.1081527	0.7398257	0.0009093
600	0.8171266	0.9163928	0.0819964	0.7389588	0.0086605
650	0.7325453	0.8034455	0.1242350	0.9059287	0.0141836
700	0.8697904	0.7263766	0.1159184	0.7810729	0.0095652
750	0.8103760	0.7127036	0.0851399	0.9337951	0.0277998
800	0.6779332	0.8316267	0.1051364	0.8424295	0.0139602
850	0.7540115	0.6989423	0.0855641	0.6242232	0.0344817
900	0.7711997	0.7708034	0.0730570	0.7556568	0.0140408
950	0.7630782	0.8724614	0.1185020	0.7391281	0.0064000
1000	0.6878947	0.6978417	0.0825709	0.7014902	0.0034390

0	0.8722137	0.8228959	0.0800171	0.7665845	0.0239654
50	0.6336517	0.7468330	0.0789025	0.7618064	0.0000433
100	0.7222030	0.7770297	0.1033702	0.7182374	0.0012249
150	0.8635097	0.7361926	0.0870288	0.8353129	0.0024274
200	0.7109766	0.7309867	0.1401474	0.9293716	0.0000515
250	0.6454553	0.7056275	0.1405660	0.7862848	0.0001701
300	0.6956025	0.6305021	0.1837093	0.8199237	0.0000415
350	0.7372825	0.7009267	0.1189320	0.8254979	0.0002277
400	0.8207429	0.7093486	0.1189326	0.7798949	0.0000947
450	0.7763589	0.7607189	0.1665219	0.7923003	0.0000867
500	0.9323631	0.6910627	0.2000676	0.9452117	0.0004100
550	0.8815007	0.7138584	0.0671513	0.8004112	0.0052795
600	0.9555867	0.7537305	0.0861852	0.8079546	0.0047749
650	0.7904088	0.7892013	0.0908867	0.7674594	0.0044065
700	0.8021265	0.6928160	0.0848858	0.6367599	0.0051700
750	0.6132878	0.7361219	0.0999655	0.7548638	0.0163461
800	0.8990560	0.8255225	0.1207001	0.7631152	0.0137125
850	0.6744630	0.6703240	0.0895707	0.8291976	0.0107988
900	0.8009389	0.7162168	0.0701223	0.7729097	0.0149082
