"Time"	YJL206C	YDR167W	YDR166C	YGL262W	YHL008C

0	1.0706427	1.0199546	0.1241154	1.0316067	0.0142785
50	0.9550780	0.9666042	0.1252051	1.0050692	0.0097652
100	0.9613089	0.9916182	0.1886689	0.9423439	0.0111863
150	1.0239418	1.0330098	0.1581951	0.9062363	0.0140672
200	1.0705731	0.9915980	0.1291318	0.9282629	0.0223197
250	1.0919754	1.0323455	0.1139791	1.0463881	0.0181293
300	1.0149468	1.0382889	0.1067978	0.9671290	0.0123148
350	0.9575290	0.9559505	0.0990541	0.9527857	0.0109514
400	0.9519262	1.0229497	0.1264368	0.9950817	0.0073474
450	0.9406567	1.0099589	0.1232236	1.0775311	0.0159612
500	0.9778950	1.0127114	0.1572325	1.1173462	0.0062601
550	0.9675462	1.0558280	0.1653550	1.0360519	0.0050363
600	1.0420934	1.0275453	0.1314751	0.9898456	0.0168348
650	1.0068649	1.0487412	0.1337044	1.0008248	0.0226128
700	1.0204007	0.9035020	0.1381427	0.9308537	0.0195085
750	0.9802654	0.9327819	0.0985108	1.0321501	0.0214893
800	0.9624199	0.9698512	0.1076437	1.0953234	0.0253043
850	1.0074952	1.0373787	0.1225277	0.9505546	0.0276333
900	1.0228893	1.0173287	0.1158796	0.9575311	0.0211252
950	1.0680986	1.0351239	0.1218055	0.9344489	0.0165026
1000	1.0098185	0.9871073	0.0989132	1.0831917	0.0095402

0	1.0706427	1.0199546	0.1241154	1.0316067	0.0142785
50	1.0709317	0.9620237	0.0978374	0.9879593	0.0000920
100	0.9714124	1.0212713	0.1210889	1.0226455	0.0012800
150	0.9893923	1.0243915	0.1345676	0.9865886	0.0006494
200	0.9348625	0.9799790	0.1362705	1.1165081	0.0002254
250	0.9091783	0.9573384	0.1528642	1.0718433	0.0001010
300	1.0012001	0.9465410	0.1746540	0.9908350	0.0000358
350	1.0324824	1.0025798	0.1579388	1.0398083	0.0002767
400	0.9921483	0.9760750	0.1420187	1.1154008	0.0001625
450	0.9283658	0.9081194	0.1534883	0.9953447	0.0000982
500	1.0580472	0.9982320	0.1504765	1.0540308	0.0002486
550	0.9995226	0.9724776	0.1171138	0.9887866	0.0067487
600	1.0658999	1.0004504	0.1079904	0.9919024	0.0100335
650	0.9491294	1.0637027	0.1209596	0.9609638	0.0118713
700	1.0292834	0.9940673	0.1194498	1.0102483	0.0077426
750	0.9904324	0.9888980	0.1174576	0.9903282	0.0131882
800	1.0076247	1.0351141	0.1330645	1.0017326	0.0166800
850	0.9623606	0.9534423	0.1396818	1.0830518	0.0153128
900	1.0445979	0.9843830	0.1046201	1.0774735	0.0187231
950	1.0256156	1.0608451	0.0853403	0.9966410	0.0152741
1000	1.0106510	0.9134903	0.1165675	1.0003343	0.0150263

0	1.0706427	1.0199546	0.1241154	1.0316067	0.0142785
50	0.7808487	0.9674854	0.1433193	1.0263669	0.0109885
100	0.6393813	1.0513937	0.2558182	1.0508630	0.0073243
150	0.6015453	1.1299329	0.2317746	1.0002376	0.0004741
200	0.6267959	0.9960983	0.3216892	1.0403178	0.0003521
250	0.5932102	1.0129068	0.4148402	0.9852240	0.0000000
300	0.6558430	0.9113695	0.3717664	1.0042013	0.0007877
350	0.6031568	0.8924058	0.3415145	0.9009705	0.0010264
400	0.5811537	1.0244320	0.4265899	0.9840574	0.0000000
450	0.6720160	1.0055903	0.4157505	0.9898595	0.0011414
500	0.6118175	1.0231770	0.4578877	0.9921667	0.0015378
550	0.8568091	1.0069191	0.3919419	0.9210163	0.0075676
600	0.9594457	0.9867685	0.3327246	1.0003058	0.0135409
650	0.9345028	0.9712628	0.2239829	1.0442011	0.0157588
700	0.9685516	1.0497444	0.2018013	0.9663019	0.0239355
750	0.9442624	0.9676306	0.1608375	1.0947828	0.0122250
800	1.0250664	0.9607834	0.1506701	1.0549284	0.0089034
850	0.9198123	1.0391149	0.1305740	1.0314196	0.0092174
900	1.0178337	0.9373540	0.1681459	0.9508388	0.0171819
950	1.0658018	1.1113918	0.1441977	0.9486680	0.0224308
1000	1.0296118	1.0486648	0.1208905	0.9489744	0.0090119

0	1.0706427	1.0199546	0.1241154	1.0316067	0.0142785
50	0.3809811	1.0662505	0.1401463	1.0120146	0.0238403
100	0.1752116	0.9629998	0.3711715	1.0148946	0.0165965
150	0.1171268	0.8571744	0.6444353	1.0548239	0.0233636
200	0.0861994	0.3840000	0.8490074	0.9885102	0.1160008
250	0.0954033	0.1351742	0.8352756	0.9138709	0.3093515
300	0.1160379	0.0941377	0.8537165	0.9700942	0.3163626
350	0.1007016	0.0918073	0.9020870	0.9605134	0.3584086
400	0.1190568	0.0644531	1.0319690	0.8675822	0.4103801
450	0.1015516	0.1196724	0.9846192	0.8807177	0.4751874
500	0.0579286	0.1118386	0.9775516	0.8878130	0.4911364
550	0.6870032	0.4126756	0.9250353	0.9813546	0.2217620
600	0.8744348	0.8003598	0.6871324	1.0274306	0.0867606
650	0.9215602	0.9701920	0.3775259	1.0339792	0.0308836
700	0.9579698	1.1367063	0.2847261	1.0255391	0.0205581
750	1.0524683	1.0856821	0.2584511	1.0120577	0.0101096
800	1.0155971	1.0449616	0.1583007	1.0568092	0.0048281
850	1.0321180	0.9527489	0.1562967	0.9309633	0.0030416
900	1.0352272	0.9481428	0.1080511	1.0609688	0.0098526
950	0.9236785	0.9331744	0.1141464	1.0114927	0.0137343
1000	0.9756483	0.9687817	0.1255211	0.9578685	0.0039789

0	1.0706427	1.0199546	0.1241154	1.0316067	0.0142785
50	0.5587477	1.0400390	0.0693282	0.9461420	0.0087641
100	0.3949497	1.0192624	0.0403097	1.0253888	0.0046107
150	0.3359010	0.9636238	0.0485824	0.9469793	0.0090733
200	0.3457981	0.9117664	0.0464355	0.9787590	0.0077662
250	0.3321340	0.8782200	0.0569551	0.9188639	0.0015521
300	0.3366273	0.8465342	0.0709664	0.8987814	0.0044439
350	0.3141093	0.9493694	0.0627478	0.9473733	0.0048142
400	0.3077449	0.8663991	0.0692603	0.9547207	0.0077012
450	0.3600143	0.8584734	0.0450557	1.0281200	0.0071897
500	0.3540094	0.8822688	0.0481022	1.0822536	0.0070943
550	0.7324984	1.0114642	0.4078358	0.9713774	0.0165549
600	0.9153953	1.0039201	0.3141049	0.9667980	0.0082354
650	1.0480133	0.9910131	0.2674153	0.9924937	0.0120726
700	0.9410135	0.9979175	0.1764366	0.9713240	0.0169336
750	0.9754096	1.0193852	0.1517973	1.1077447	0.0124175
800	0.9549718	1.0987272	0.1561260	1.0378247	0.0142638
850	0.9559820	1.0628644	0.1697539	1.0638201	0.0115764
900	1.0307800	0.9912586	0.1455885	1.0806337	0.0151133
950	0.9835606	1.0732475	0.1214017	1.0739462	0.0159530
1000	1.0335989	1.0329478	0.1404037	1.1051342	0.0138238

0	1.0706427	1.0199546	0.1241154	1.0316067	0.0142785
50	0.9655372	0.9761147	0.0632901	1.0050338	0.0046883
100	0.9916469	1.0162199	0.0519714	0.9797478	0.0017587
150	0.9570544	1.0431182	0.0484993	1.0323470	0.0001648
200	0.9834949	1.0099029	0.0677842	1.0701714	0.0020646
250	0.9503293	1.1220329	0.0621379	0.9766434	0.0014347
300	0.9248088	1.0073514	0.0567199	1.0025854	0.0004979
350	0.9871249	1.0139731	0.0659885	0.9647043	0.0003033
400	0.9202988	1.0497725	0.0561734	1.0045643	0.0000421
450	0.9926373	0.9449369	0.0562077	1.0790862	0.0021463
500	0.9641670	1.0253100	0.0418107	1.0212336	0.0009942
550	0.9963540	0.9306926	0.0821871	0.9626772	0.0067643
600	0.9357197	0.9720664	0.1121398	0.9884676	0.0230055
650	1.0781208	1.0084265	0.1651531	1.0152802	0.0086651
700	1.1160889	1.0137106	0.1321517	1.0671032	0.0126994
750	0.9667470	1.0062063	0.1408397	0.9962800	0.0106185
800	1.0115931	1.0007962	0.1376801	0.9867274	0.0108927
850	0.9260763	0.9789799	0.1247972	1.0507792	0.0082388
900	0.9541447	0.9340570	0.1254821	1.0789719	0.0243055
950	0.9939994	0.9941588	0.1332653	1.0484510	0.0206529
1000	0.9553694	0.9764118	0.1499443	0.9465924	0.0211122

0	1.0706427	1.0199546	0.1241154	1.0316067	0.0142785
50	0.7967142	0.9865609	0.1135369	0.9627965	0.0047714
100	0.7009306	1.1007233	0.2248848	1.0156218	0.0015318
150	0.6986263	0.9867012	0.2507733	1.0462337	0.0002960
200	0.7429717	0.9895694	0.3409688	1.0533276	0.0005311
250	0.7942781	1.0127574	0.3515536	1.0682567	0.0001688
300	0.7908415	0.8832340	0.3415239	0.9620748	0.0014129
350	0.8126395	0.9361759	0.2876974	1.0497790	0.0001320
400	0.7842603	0.9602589	0.2876748	1.0454187	0.0022229
450	0.7283229	1.0273802	0.2687700	0.9941099	0.0011580
500	0.6910384	0.9638661	0.2561499	1.0267839	0.0005368
550	0.8437875	1.0134295	0.2627069	0.9225791	0.0059148
600	0.9342003	1.0065050	0.2266298	0.9759558	0.0160217
650	0.9771756	0.9636557	0.2141192	1.0089264	0.0208481
700	1.0755944	1.0038801	0.1712344	1.0003103	0.0183741
750	0.9670092	1.0749177	0.1255014	1.0212432	0.0102955
800	0.9998586	1.0358030	0.1007807	1.0006016	0.0028139
850	0.9562304	0.9956087	0.1423216	1.0185760	0.0063039
900	1.0166690	1.0174400	0.1050182	1.0053045	0.0150628
950	0.9899432	0.9550638	0.1530967	1.0038865	0.0087394
1000	1.0486123	0.9375743	0.1710058	0.9129065	0.0133456

0	1.0706427	1.0199546	0.1241154	1.0316067	0.0142785
50	1.0205923	1.0634873	0.0747592	1.0077519	0.0029637
100	0.9443340	1.1240468	0.0576925	1.0399858	0.0005189
150	0.9623712	1.0007566	0.0533804	0.9779874	0.0010881
200	0.9396017	0.9616942	0.0655730	0.9998250	0.0031739
250	0.9279539	1.0082664	0.0570178	0.9953191	0.0000280
300	0.9592657	1.0316824	0.0483853	1.0103033	0.0004872
350	1.0350118	0.9443594	0.0512968	1.0327917	0.0003626
400	1.0154954	0.9652240	0.0353816	1.1174560	0.0000219
450	1.0097254	1.0219726	0.0367534	0.9946991	0.0001954
500	0.9977720	1.0195060	0.0346537	1.0070005	0.0007712
550	0.9442430	0.9646336	0.0920036	1.0504091	0.0101701
600	0.9938805	1.0030160	0.0913797	1.0753462	0.0110351
650	1.0260070	0.9482682	0.0980276	1.0350135	0.0166823
700	1.0439169	0.9914498	0.1290069	1.0369520	0.0247301
750	0.9287898	1.0500708	0.1107539	0.9931342	0.0117413
800	0.9908935	0.9459650	0.1098457	0.9973839	0.0230278
850	0.9772368	1.0324759	0.1374329	1.0629380	0.0229115
900	0.9884510	1.1470338	0.1192194	1.0361278	0.0265669
950	1.0958856	0.9914905	0.1214965	0.9926957	0.0153191
1000	1.0330231	1.0900479	0.1012270	0.9560932	0.0182429

0	1.0706427	1.0199546	0.1241154	1.0316067	0.0142785
50	0.9985134	1.0279848	0.1301413	1.0298131	0.0160132
100	1.0241124	1.0369535	0.1461515	1.0056966	0.0140186
150	1.0195689	0.9807119	0.1485614	0.9606534	0.0141878
200	1.0184160	1.0042014	0.1348141	0.9517715	0.0046030
250	1.0430864	0.9991522	0.1228469	0.9838552	0.0167878
300	1.1001304	1.0410494	0.1113736	0.9577260	0.0036357
350	1.1089392	1.0541468	0.0761429	1.0214913	0.0087813
400	1.0896529	1.0008570	0.0867675	1.0016244	0.0135181
450	0.9960408	1.0180246	0.0974396	0.9461687	0.0169490
500	1.0845705	1.0451685	0.1510119	1.0352978	0.0208064
550	0.9749501	1.0455047	0.1405294	1.0394366	0.0213284
600	0.9934685	1.0403301	0.1295052	1.0590904	0.0181265
650	0.9776480	0.9953085	0.1453719	1.0523680	0.0053996
700	1.0479674	1.0218452	0.1505478	0.8681541	0.0015593
750	1.0182605	0.9647016	0.1568708	1.0301611	0.0043106
800	1.0560518	1.0480036	0.1593986	1.0877576	0.0156319
850	1.0199240	0.9829979	0.1571258	0.9954544	0.0153640
900	0.9888122	0.9945527	0.1572662	1.0391292	0.0107042
950	0.9574818	0.9406913	0.1457380	0.9762599	0.0272969
1000	0.8869317	1.0334081	0.1328881	1.0507044	0.0141618

0	1.0706427	1.0199546	0.1241154	1.0316067	0.0142785
50	1.0283021	1.0960667	0.1192793	1.0154974	0.0128454
100	0.9896857	1.0806916	0.1370269	1.0031329	0.0214781
150	0.9569201	0.9751036	0.1450214	0.9710703	0.0238672
200	0.8992891	0.9652651	0.1286097	0.9976004	0.0171334
250	0.8612185	0.9813724	0.1444849	1.0692467	0.0162267
300	1.0852187	1.0288740	0.1647572	1.0139173	0.0056259
350	0.9862103	1.0480009	0.1116956	1.0126151	0.0173361
400	1.0768485	1.0074741	0.1311618	0.9330443	0.0050582
450	0.9752170	1.0619141	0.1260398	1.0274089	0.0098958
500	1.0258595	1.0197558	0.1334835	0.9864440	0.0132834
550	0.9369265	0.9664197	0.1413435	0.9842311	0.0115498
600	1.0514010	1.0694938	0.1440026	0.9815779	0.0288076
650	1.0857116	0.9146393	0.1414018	1.0376552	0.0165083
700	1.0486016	0.9217541	0.1505901	1.0523826	0.0189226
750	0.9756625	1.0305268	0.1420425	1.1098995	0.0203047
800	1.0382848	0.9711004	0.1458338	0.9655917	0.0109767
850	1.1071909	1.0661673	0.1203511	1.0291303	0.0066421
900	1.0065868	1.0885888	0.1039587	0.9490480	0.0047683
950	1.0773909	1.0008090	0.1061929	1.0067058	0.0105029
1000	0.9306796	1.0228858	0.1262665	0.9695064	0.0113839
