"Time"	YJL206C	YDR167W	YDR166C	YGL262W	YHL008C

0	1.0679719	0.9217333	0.1225007	0.9815080	0.0152709
50	0.9021587	0.9978280	0.1124083	0.9402891	0.0068801
100	0.9722833	1.0751348	0.1631960	0.9535437	0.0060745
150	1.0232524	0.9968730	0.1604138	0.9659247	0.0083780
200	1.0200352	0.9467616	0.1760105	0.9230085	0.0239039
250	1.0551503	1.0108988	0.0837659	0.9882982	0.0179543
300	1.0377189	0.9988535	0.0814737	1.0446970	0.0174480
350	1.0937215	0.9567344	0.0876793	1.0635079	0.0143570
400	0.9158455	1.0475618	0.1088757	0.9330513	0.0113309
450	0.9545373	0.9798402	0.1654918	1.0121512	0.0142224
500	1.0307465	1.0651544	0.1307548	1.0382110	0.0089124
550	0.9981500	1.0327265	0.1326286	1.0970557	0.0074880
600	0.9161719	1.0191279	0.1252797	1.0611026	0.0016850
650	1.0040537	1.0172869	0.1420767	0.9517731	0.0063463
700	1.1034486	0.9705727	0.1572749	1.0214367	0.0042083
750	1.0452553	0.9021657	0.1218301	1.0066640	0.0156820
800	1.0211919	0.8770249	0.1343462	1.0647543	0.0286710
850	1.0154566	0.9576430	0.1283072	0.9757603	0.0193231
900	1.0289784	0.9860865	0.1304069	1.0517590	0.0152667
950	1.0928244	1.0450105	0.1294565	1.0432659	0.0212489
1000	1.0152366	0.9888568	0.1050741	0.9659308	0.0144196

0	1.0679719	0.9217333	0.1225007	0.9815080	0.0152709
50	0.9688549	0.9367195	0.1176708	1.0213520	0.0048774
100	0.9090413	0.9227971	0.1160469	0.9499452	0.0029220
150	0.9287270	0.9200075	0.0957144	0.9539025	0.0003676
200	0.9302973	1.0466162	0.1369824	1.0528873	0.0000246
250	0.8984546	0.9656386	0.1843025	1.1080953	0.0008017
300	0.9355864	0.8933782	0.1591404	0.9829819	0.0000047
350	0.9963384	1.0006550	0.1455511	1.0168754	0.0021018
400	0.9648606	0.9871906	0.1507863	0.9649650	0.0006020
450	0.9251939	0.9786605	0.0831832	0.9777280	0.0027543
500	0.9931947	1.0054574	0.1414381	1.0361704	0.0045042
550	1.0479917	1.0207836	0.1055963	0.9629629	0.0045371
600	1.1024970	1.0153889	0.1307719	0.9812931	0.0050891
650	1.0738535	1.0707254	0.1208926	0.9224398	0.0113171
700	1.0525814	1.0401611	0.1071395	1.0518293	0.0081526
750	1.0487946	0.8866936	0.1602768	0.9856267	0.0185534
800	1.0102554	1.0283351	0.1351655	1.0780647	0.0261688
850	0.9839944	1.0210187	0.1353996	1.0888090	0.0230156
900	0.9486556	0.9569288	0.1204783	0.9911747	0.0270125
950	1.0638149	0.9927633	0.1161047	1.0347225	0.0163007
1000	1.0179635	0.9301749	0.0975124	0.9830333	0.0228401

0	1.0679719	0.9217333	0.1225007	0.9815080	0.0152709
50	0.8520051	0.9681179	0.1386622	1.1303249	0.0073799
100	0.7543867	0.8951583	0.2169615	1.0116146	0.0025527
150	0.6529944	0.9661191	0.2230800	1.0542895	0.0010285
200	0.6227788	0.9719628	0.3024094	1.0280112	0.0004188
250	0.6989720	0.9402744	0.3956984	1.0747321	0.0028211
300	0.6728932	0.9703840	0.3498411	0.9731229	0.0000113
350	0.5937589	0.9272934	0.3932190	1.0287520	0.0021499
400	0.5589031	0.9152894	0.4799051	0.9362388	0.0013134
450	0.5955515	0.8880155	0.4307395	1.0065507	0.0007521
500	0.6037857	0.9360487	0.4996628	0.9801792	0.0006863
550	0.7016545	0.9777716	0.4577003	0.9467224	0.0057367
600	0.8089959	0.8913119	0.3552678	1.0060014	0.0054576
650	0.9446853	0.8928899	0.2412997	1.1321343	0.0090368
700	0.9793313	0.9283426	0.2068558	0.9658108	0.0066421
750	1.0074411	0.9657893	0.1575426	0.9959201	0.0093527
800	1.0205137	0.9677300	0.1680517	1.0281850	0.0145990
850	0.8613849	0.9575916	0.1455609	0.9716066	0.0149282
900	0.8973517	0.8837536	0.1483010	1.0355654	0.0225529
950	1.0379263	0.9373362	0.1593476	0.9545416	0.0115731
1000	1.0253053	1.0466120	0.1471891	0.9989550	0.0309858

0	1.0679719	0.9217333	0.1225007	0.9815080	0.0152709
50	0.7561221	0.9801529	0.1187163	0.9607652	0.0119753
100	0.4495825	0.9262081	0.2185371	1.0334032	0.0242322
150	0.2617824	0.9738033	0.5564634	1.1054165	0.0297499
200	0.1115633	0.7611534	0.8190104	0.9938216	0.0404130
250	0.1033911	0.3824491	0.8618684	0.8992612	0.1611440
300	0.1055885	0.2382905	0.7742660	0.9678601	0.2566894
350	0.1114937	0.1457140	0.9003631	0.9386345	0.3307371
400	0.0930778	0.0911303	1.0294737	0.9353768	0.4095870
450	0.0918940	0.0702970	0.9371210	0.8432744	0.5047101
500	0.0788016	0.0955189	0.8951462	0.8558616	0.5206442
550	0.4292413	0.1488745	0.9598264	0.8806911	0.3812808
600	0.7179924	0.4365704	0.8304768	0.9700819	0.2521401
650	0.9145396	0.6613625	0.4623573	1.0192997	0.1073972
700	0.9526244	0.8910366	0.2850758	0.9985715	0.0320497
750	1.0045445	1.0498718	0.2637346	0.9667359	0.0200700
800	1.0435111	1.0676723	0.1886377	1.0313856	0.0147392
850	1.0882811	1.0733223	0.1704988	0.9702495	0.0065382
900	1.1001940	0.9735748	0.1503311	0.9216823	0.0083754
950	1.1017960	0.9807575	0.0773725	0.9513375	0.0052892
1000	0.9496814	0.9893479	0.0951692	0.9519331	0.0077966

0	1.0679719	0.9217333	0.1225007	0.9815080	0.0152709
50	0.8400679	1.0811453	0.0704360	0.9434430	0.0208724
100	0.5056542	1.1341250	0.0608919	0.9175825	0.0079869
150	0.3951384	0.9853560	0.0331049	0.9860711	0.0035057
200	0.3596602	0.9251775	0.0284267	0.8639296	0.0073098
250	0.3251464	0.9120290	0.0438309	0.8663211	0.0009707
300	0.3575389	0.9513005	0.0650011	0.8547362	0.0007106
350	0.3452626	0.9022421	0.0731640	1.0124658	0.0023169
400	0.3201901	0.9142232	0.0680901	0.9967568	0.0061383
450	0.3081266	0.8254529	0.0492646	1.0126150	0.0152654
500	0.3722485	0.8719344	0.0645797	1.0729571	0.0085780
550	0.5812144	0.8812761	0.3348623	1.0020698	0.0088604
600	0.7700422	0.9860973	0.3560152	1.1318204	0.0143112
650	0.9258234	1.0348112	0.2891153	0.9553304	0.0141579
700	0.9862069	0.9550163	0.2485513	1.0746280	0.0104368
750	0.9447312	1.0143528	0.1483152	1.0914380	0.0149261
800	0.9646773	1.0412764	0.1593273	1.0519062	0.0063118
850	0.9413826	1.0808918	0.1547850	1.0865077	0.0152943
900	0.9427912	1.0312623	0.1606582	1.0331449	0.0083010
950	0.9585517	0.9789105	0.1339560	1.1926506	0.0055193
1000	1.0577037	1.0701202	0.1232124	1.2679622	0.0097354

0	1.0679719	0.9217333	0.1225007	0.9815080	0.0152709
50	1.0963789	0.9439855	0.0755702	0.9259028	0.0112496
100	0.9755683	0.9201872	0.0743605	1.0455162	0.0028628
150	0.9747370	0.9280784	0.0589852	1.0478536	0.0032527
200	0.9794620	0.9629970	0.0624070	1.1094482	0.0016277
250	0.9545858	0.9973958	0.0493282	1.0497128	0.0002058
300	0.9670646	1.0474096	0.0591432	0.9916212	0.0006092
350	0.8676761	1.1472869	0.0465465	0.9605201	0.0009464
400	0.9760340	1.2017848	0.1001511	1.0708545	0.0002418
450	0.9817643	1.0474666	0.0700041	1.0889573	0.0006700
500	0.9692556	1.0870252	0.0309827	1.0940713	0.0013730
550	1.0127631	1.0094368	0.0884760	1.0107474	0.0044855
600	0.9338968	0.9604594	0.1001865	1.0242815	0.0081881
650	0.9482193	1.0271855	0.1256061	1.1492828	0.0026723
700	1.0888259	1.0257680	0.1470397	1.0779842	0.0103004
750	1.0400769	0.9976106	0.1266401	1.0014179	0.0108655
800	0.9898152	0.9934630	0.1374895	0.9527474	0.0081146
850	0.9683608	1.0038104	0.1152064	0.9829227	0.0063741
900	1.0014435	1.0457301	0.1396001	1.0259195	0.0147418
950	1.0137892	1.0431230	0.1506700	1.0365525	0.0212495
1000	0.9943755	0.9876299	0.1374631	0.9953933	0.0223288

0	1.0679719	0.9217333	0.1225007	0.9815080	0.0152709
50	0.9037946	1.0108344	0.1199194	0.9360520	0.0120184
100	0.6766258	0.9750843	0.1295475	0.8884096	0.0042610
150	0.6290678	0.9975035	0.2172418	1.0191237	0.0017707
