"Time"	YJL206C	YDR167W	YDR166C	YGL262W	YHL008C

0	1.0000000	0.9997270	0.1338406	0.9999987	0.0131222
50	1.0000000	0.9999320	0.1338297	0.9999987	0.0131221
100	1.0000000	0.9999778	0.1338250	0.9999987	0.0131221
150	1.0000000	0.9999881	0.1338229	0.9999987	0.0131221
200	1.0000000	0.9999903	0.1338219	0.9999987	0.0131221
250	1.0000000	0.9999908	0.1338215	0.9999987	0.0131221
300	1.0000000	0.9999910	0.1338214	0.9999987	0.0131221
350	1.0000000	0.9999910	0.1338213	0.9999987	0.0131221
400	1.0000000	0.9999910	0.1338213	0.9999987	0.0131221
450	1.0000000	0.9999910	0.1338212	0.9999987	0.0131221
500	1.0000000	0.9999910	0.1338212	0.9999987	0.0131221
550	1.0000000	0.9997860	0.1338212	0.9999987	0.0131221
600	1.0000000	0.9997402	0.1338212	0.9999987	0.0131221
650	1.0000000	0.9997299	0.1338212	0.9999987	0.0131221
700	1.0000000	0.9997277	0.1338212	0.9999987	0.0131221
750	1.0000000	0.9997272	0.1338212	0.9999987	0.0131221
800	1.0000000	0.9997270	0.1338212	0.9999987	0.0131221
850	1.0000000	0.9997270	0.1338212	0.9999987	0.0131221
900	1.0000000	0.9997270	0.1338212	0.9999987	0.0131221
950	1.0000000	0.9997270	0.1338212	0.9999987	0.0131221
1000	1.0000000	0.9997270	0.1338212	0.9999987	0.0131221

0	1.0000000	0.9997270	0.1338406	0.9999987	0.0131222
50	1.0000000	0.9997270	0.1338297	0.9999987	0.0039457
100	1.0000000	0.9997270	0.1338250	0.9999987	0.0011981
150	1.0000000	0.9997270	0.1338229	0.9999987	0.0003754
200	1.0000000	0.9997270	0.1338219	0.9999987	0.0001291
250	1.0000000	0.9997270	0.1338215	0.9999987	0.0000553
300	1.0000000	0.9997270	0.1338214	0.9999987	0.0000332
350	1.0000000	0.9997270	0.1338213	0.9999987	0.0000266
400	1.0000000	0.9997270	0.1338213	0.9999987	0.0000246
450	1.0000000	0.9997270	0.1338212	0.9999987	0.0000240
500	1.0000000	0.9997270	0.1338212	0.9999987	0.0000239
550	1.0000000	0.9997270	0.1338212	0.9999987	0.0092002
600	1.0000000	0.9997270	0.1338212	0.9999987	0.0119478
650	1.0000000	0.9997270	0.1338212	0.9999987	0.0127705
